Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1020,Agrocybe,sp,Tatoosh,E2,4,11/6/20,9,12/16/20,Agrocybe sp. Tatoosh P4 11-6-20
1038,Coprinus,comatus,I,E3,17,11/12/20,9,11/25/20,Cc I P17 11-12-20
1035,Coprinus,comatus,Eastside,E3,2,11/12/20,9,11/25/20,Cc Eastside P2 11-12-20
1031,Calocybe,indica,Aloha,E2,3,11/12/20,9,11/30/20,Ci Aloha P3 11-12-20
1037,Coprinus,comatus,Georgia Pacific,E3,2,11/12/20,9,11/30/20,Cc G. Pacific P2 11-12-20
1036,Coprinus,comatus,FB-2,E2,2,11/12/20,9,12/1/20,Cc FB-2 P2 11-12-20
1033,Calvatia,cyathiformis,I,E1,2,11/12/20,9,1/4/21,Calbovista sp. I P2 11-12-20
1018,Cyclocybe,parasitica,Aloha,E1,4,12/1/20,9,12/17/20,A. aegerita Aloha P4 12-1-20
1000,Agaricus,augustus,I,E1,13,12/1/20,9,12/21/20,A. augustus I P13 12-1-20
1059,Flammulina,populicola,TELL-II,E2,2,12/2/20,9,12/16/20,Fp TELL - II P2 12-2-20
1057,Flammulina,filiformis,I,E2,9,12/2/20,9,12/17/20,Fp I P9 12-2-20
1066,Fomes,fomentarius,Mass,E1,2,12/2/20,9,12/21/20,Ff Mass P2 12-2-20
1063,Phellinus ,everhartii,I,E1,2,12/2/20,9,12/22/20,Fe I P2 12-2-20
1068,Fomes,fomentarius,U of Virginia,E1,4,12/2/20,9,12/22/20,Ff U of V P4 12-2-20
1055,Fistulina,hepatica,I,E1,2,12/2/20,9,1/4/21,Fh I P2 12-2-20
1041,Tolypocladium,capitatum,Cortes,E1,12,12/2/20,9,1/11/21,C. capitata Cortes P12 12-2-20
1067,Fomes,fomentarius,Norway,E1,2,3/24/21,9,4/12/21,Ff Norway P2 3-24-21
1069,Fomes,fomentarius,Vancouver,D8,3,3/24/21,9,4/12/21,Ff Vancouver P3 3-24-21
1176,Ganoderma,lucidum,62451,D8,8,4/6/21,9,4/23/21,Gl 62451 P8 4-6-21
1293,Lentinula,edodes,CS master,D8,4,4/6/21,9,4/26/21,Le cs P4 4-6-21
1034,Clitocybe,odora,I,D7,1,4/6/21,10,5/12/21,Co I P1 4-6-21
1401,Pleurotus,ostreatus,PWOST,D8,8,4/9/21,9,4/23/21,Po PWOST P8 4-9-21
1198,Grifola,frondosa,158772,D8,4,4/9/21,9,4/30/21,Gf 158772 P4 4-9-21
1365,Fomitopsis,betulina,NY St. Regis,D8,2,4/9/21,8,4/30/21,Pb NY St. Regis P2 4-9-21
1174,Ganoderma,lucidum,7400,D8,15,4/12/21,9,4/26/21,Gl 7400 P15 4-12-21
1190,Ganoderma,oregonense,II - Meadow Lake,D7,11,4/12/21,9,5/4/21,Go Mead. Lake P11 4-12-21
1348,Tropicoporus,linteus,I,D8,2,4/12/21,9,5/4/21,Pl I P2 4-12-21
1224,Hericium,erinaceus,II,D7,4,4/12/21,9,5/6/21,He II 2501 P4 4-12-21
1065,Fomes,fomentarius,I,D8,5,4/16/21,9,5/3/21,Ff I P5 4-16-21
1169,Ganoderma,applanatum,II - Duckabush,D7,3,4/16/21,9,5/3/21,Ga II Duck. P3 4-16-21
1268,Inonotus,obliquus,I,D7,14,4/16/21,9,5/6/21,Io I P14 4-16-21
1290,Lentinula,edodes,705 Solstice,D7,15,5/14/21,10,6/1/21,Le 705 Sol. P15 5-14-21
1435,Schizophyllum,commune,I,D7,5,5/14/21,10,6/1/21,Sc I P5 5-14-21
1417,Metacordyceps,chlamydosporia,123,D6,1,5/14/21,10,6/7/21,Pc 123 P1 5-14-21
1061,Flammulina,velutipes,IV - #58/1423,D7,6,5/17/21,10,6/1/21,Fv IV P6 5-17-21
1335,Morchella,esculenta,M18,D6,7,5/17/21,10,6/3/21,Me M18 P7 5-17-21
1446,Stropharia,rugosoannulata,Franklin wine cap #8621,D6,2,5/17/21,10,6/7/21,Sra Frank. P2 5-17-21
1373,Pleurotus,eryngii,I,D7,2,5/21/21,10,6/3/21,Pe I P2 5-21-21
1426,Wolfiporia,cocos,II,D7,2,5/21/21,10,6/3/21,Pc II P2 5-21-21
1409,Pleurotus,pulmonarius,I,D6,2,5/21/21,10,6/7/21,Pp I P2 5-21-21
1425,Wolfiporia,cocos,I,D6,2,5/21/21,10,6/15/21,Pc I P2 5-21-21
1299,Lentinula,edodes,MM,D6,17,6/1/21,10,6/15/21,Le MM P17 6-1-21
1383,Pleurotus,ostreatus,CBOST,D6,15,6/3/21,10,6/15/21,Po CBOST P15 6-3-21
